start,tenor,fsr,PVBP
1,1,0.03200699912122606,0.9944003027051415
1,2,0.03325922575031534,1.9852943450971754
1,3,0.03401072632499035,2.9723856176881878
1,5,0.03525547153260573,4.934070110223052
1,10,0.038427964224875065,9.747887002311575
5,1,0.03927403696798096,0.9785172403061349
5,2,0.040074861093955756,1.9521453080428215
5,3,0.040072246457931116,2.920443858620116
5,5,0.04109322876657619,4.840612063706585
5,10,0.04363364552748242,9.542491609305204
10,1,0.0421892371403153,0.9517220686880735
10,2,0.043115736403141106,1.897771057591972
10,3,0.044097124988139516,2.8381469667116956
10,5,0.046249019209522506,4.701879545598619
10,10,0.053457529143720615,9.264214201574292
